,,
,,
,,
,"County","Total Millage Rate"
11,"Alachua",23.88
12,"Baker",17.38
13,"Bay",12.36
14,"Bradford",18.4
15,"Brevard",20.09
16,"Broward",20.98
17,"Calhoun",17.59
18,"Charlotte",16.91
19,"Citrus",16.24
20,"Clay",16.38
21,"Collier",11.74
22,"Columbia",18.32
23,"Dade",20.32
24,"DeSoto",16.21
25,"Dixie",22.02
26,"Duval",7.92
27,"Escambia",16.27
28,"Flagler",18.63
29,"Franklin",11.56
30,"Gadsden",18.18
31,"Gilchrist",18.09
32,"Glades",20.06
33,"Gulf",15.6
34,"Hamilton",19.02
35,"Hardee",17.58
36,"Hendry",20.52
37,"Hernando",16.12
38,"Highlands",16.4
39,"Hillsborough",20.73
40,"Holmes",15.94
41,"Indian River",16.24
42,"Jackson",14.57
43,"Jefferson",17.41
44,"Lafayette",17.57
45,"Lake",16.83
46,"Lee",17.83
47,"Leon",18.67
48,"Levy",17.32
49,"Liberty",18.25
50,"Madison",18.78
51,"Manatee",17.02
52,"Marion",16.25
53,"Martin",16.57
54,"Monroe",10.12
55,"Nassau",16.43
56,"Okaloosa",13.69
57,"Okeechobee",18.72
58,"Orange",18.08
59,"Osceola",17.05
60,"Palm Beach",20.95
61,"Pasco",16.49
62,"Pinellas",20.54
63,"Polk",17.55
64,"Putnam",18.4
65,"Saint Johns",16.39
66,"Saint Lucie",22.87
67,"Santa Rosa",14.65
68,"Sarasota",14.28
69,"Seminole",16.95
70,"Sumter",13.56
71,"Suwannee",17.47
72,"Taylor",16.82
73,"Union",19.36
74,"Volusia",23.51
75,"Wakulla",17.23
76,"Walton",9.67
77,"Washington",18.1
