CITY                                   ZIPCODE P       RENT ESTIMATE ASKING   PCT                                          PROP_ID  
----------------------------------- ---------- - ---------- -------- -------- ----------------------------------------- ----------  
APOPKA                                   32703 B      11.44   $1,956   $1,495 131%                                          837299  
                                         32703 B      11.44   $1,701   $1,195 142%                                          825681  
                                         32703 B      11.44   $1,098     $699 157%                                          843545  
                                         32703 B      11.44   $1,103     $895 123%                                          840275  
                                         32703 B      11.44   $1,466   $1,200 122%                                          839038  
                                         32703 B      11.44   $1,383   $1,100 126%                                          838863  
                                         32703 B      11.44   $1,281     $950 135%                                          838364  
                                         32703 B      11.44   $1,328   $1,200 111%                                          834556  
                                         32703 B      11.44   $1,440   $1,300 111%                                          833303  
                                         32703 B      11.44   $1,175   $1,199 98%                                           833249  
                                         32703 B      11.44   $1,556   $1,495 104%                                          830609  
                                         32703 B      11.44     $978   $1,275 77%                                           830479  
                                         32703 C      11.44   $1,502     $950 158%                                          836927  
                                         32712 A      11.44   $1,400   $1,200 117%                                          811493  
                                         32712 B      11.44   $1,682   $1,175 143%                                          824153  
                                         32712 B      11.44   $2,589   $1,195 217%                                          822876  
                                         32712 B      11.44     $980     $975 101%                                          822146  
                                         32712 B      11.44   $1,406   $1,195 118%                                          821911  
                                         32712 B      11.44   $1,821   $1,395 131%                                          820793  
                                         32712 B      11.44   $1,297   $1,195 108%                                          819756  
                                         32712 B      11.44   $2,042   $1,300 157%                                          813583  
                                         32712 B      11.44   $1,383   $1,250 111%                                          813571  
                                         32712 B      11.44   $3,349   $1,750 191%                                          812471  
                                         32712 B      11.44   $1,781   $1,300 137%                                          811473  
                                         32712 B      11.44   $2,866   $1,950 147%                                          806333  
                                         32712 B      11.44   $2,669   $2,100 127%                                          805240  
                                         32712 B      11.44   $1,194   $1,050 114%                                          804654  
                                         32712 B      11.44   $1,452   $1,000 145%                                          811683  
                                         32712 B      11.44   $1,022     $850 120%                                          767029  
                                         32712 C      11.44   $1,905   $1,250 152%                                          823170  
                                         32712 C      11.44   $1,354   $1,100 123%                                          823129  
                                                                                                                                    
CAPE CANAVERAL                           32920 A      10.39   $1,666   $2,200 76%                                           179755  
                                         32920 A      10.39   $1,783   $2,600 69%                                           162456  
                                         32920 A      10.39   $1,470   $2,000 74%                                           162003  
                                         32920 B      10.39     $966     $875 110%                                          177589  
                                         32920 B      10.39   $1,262     $900 140%                                          178572  
                                         32920 C      10.39     $382     $695 55%                                           174705  
                                                                                                                                    
COCOA                                    32922 A      10.39   $2,484   $2,000 124%                                          155814  
                                         32922 B      10.39   $1,610     $580 278%                                          156196  
                                         32922 C      10.39     $824     $675 122%                                          143679  
                                         32922 C      10.39   $3,661     $750 488%                                          151354  
                                         32926 B      10.39   $1,119   $1,200 93%                                           129937  
                                         32926 B      10.39   $1,380   $1,050 131%                                          126457  
                                         32926 C      10.39   $1,410     $550 256%                                          157368  
                                         32926 C      10.39     $890     $750 119%                                          127316  
                                         32927 B      10.39     $868   $1,000 87%                                           103326  
                                         32927 B      10.39   $1,888   $1,600 118%                                          117088  
                                         32927 B      10.39   $1,346     $950 142%                                          107193  
                                         32927 C      10.39   $2,853   $1,200 238%                                          121325  
                                                                                                                                    
COCOA BEACH                              32931 A      10.39   $1,250   $2,400 52%                                           184083  
                                         32931 A      10.39   $1,959   $3,200 61%                                           177046  
                                         32931 A      10.39   $1,160   $1,050 110%                                          214758  
                                         32931 A      10.39     $620     $950 65%                                           214700  
                                         32931 A      10.39     $942     $975 97%                                           221410  
                                         32931 A      10.39   $1,474   $2,700 55%                                           221114  
                                         32931 A      10.39   $1,238   $1,800 69%                                           186975  
                                         32931 A      10.39     $953   $1,000 95%                                           185768  
                                         32931 A      10.39   $1,604   $1,800 89%                                           185189  
                                         32931 A      10.39   $2,946   $3,475 85%                                           179263  
                                         32931 B      10.39     $892     $900 99%                                           186663  
                                         32931 B      10.39   $1,432   $1,900 75%                                           222718  
                                         32931 C      10.39   $1,472     $750 196%                                          218769  
                                                                                                                                    
DAYTONA BEACH                            32114 B       9.33     $490     $725 68%                                           736370  
                                         32118 B       9.33   $1,214   $1,500 81%                                           645624  
                                         32119 B       9.33   $1,116   $1,395 80%                                           750185  
                                                                                                                                    
DEBARY                                   32713 A       9.33   $2,739   $2,400 114%                                          517480  
                                         32713 A       9.33     $949   $2,200 43%                                           526575  
                                         32713 A       9.33   $1,374   $1,395 98%                                           728073  
                                         32713 A       9.33   $1,986   $3,070 65%                                           733634  
                                         32713 A       9.33   $2,140   $2,500 86%                                           733635  
                                         32713 B       9.33     $765     $850 90%                                           533373  
                                         32713 B       9.33   $1,695   $1,395 122%                                          536358  
                                         32713 B       9.33   $1,001     $950 105%                                          531143  
                                         32713 B       9.33     $998   $1,500 67%                                           530572  
                                         32713 B       9.33   $1,976   $1,900 104%                                          529330  
                                         32713 B       9.33   $1,273   $1,395 91%                                           528551  
                                         32713 B       9.33   $1,452   $1,350 108%                                          528050  
                                         32713 B       9.33   $1,678   $1,225 137%                                          526998  
                                         32713 B       9.33   $1,092   $1,675 65%                                           526590  
                                         32713 B       9.33   $1,441   $1,800 80%                                           526143  
                                                                                                                                    
DELAND                                   32720 A       10.4   $1,459     $600 243%                                          501721  
                                         32720 B       9.33     $894     $950 94%                                           512550  
                                         32720 B       9.33   $1,260   $1,100 115%                                          501878  
                                         32720 B       9.33     $804     $675 119%                                          747114  
                                         32720 B       9.33     $647     $725 89%                                           501857  
                                         32720 B       9.33     $886   $1,500 59%                                           514034  
                                         32720 B       9.33   $1,235     $950 130%                                          487094  
                                         32720 B       10.4   $1,037     $450 230%                                          499999  
                                         32720 B       9.33   $1,661   $1,700 98%                                           733737  
                                         32720 B       10.4   $1,037     $475 218%                                          499999  
                                         32720 B       9.33     $939     $925 102%                                          501771  
                                         32720 B       9.33   $1,171     $950 123%                                          495219  
                                         32720 B       9.33   $1,393     $575 242%                                          513170  
                                         32720 B       9.33     $801     $899 89%                                           493531  
                                         32720 C       5.41   $1,711     $550 311%                                          519184  
                                         32720 C       9.33     $963   $1,050 92%                                           506627  
                                         32720 C       9.33     $650     $775 84%                                           503468  
                                         32724 A       10.4   $1,004     $975 103%                                          509998  
                                         32724 B         12     $982     $495 198%                                          504204  
                                         32724 B       9.33     $743     $640 116%                                          752086  
                                         32724 B       9.33     $743     $700 106%                                          752020  
                                         32724 B       9.33     $761     $550 138%                                          503993  
                                         32724 B       9.33   $2,100   $1,900 111%                                          744932  
                                         32724 B       9.33   $1,082     $900 120%                                          739483  
                                         32724 B       9.33     $746   $1,400 53%                                           730207  
                                         32724 B       9.33   $1,379   $1,400 98%                                           514297  
                                         32724 B       9.33   $1,186   $1,500 79%                                           509011  
                                         32724 B       9.33   $1,403   $1,500 94%                                           508182  
                                         32724 B       9.33   $1,222   $1,150 106%                                          504831  
                                         32724 B       9.33   $1,269   $1,250 102%                                          500722  
                                         32724 B       9.33     $647     $795 81%                                           500286  
                                         32724 B       9.33   $1,248     $950 131%                                          499511  
                                         32724 B       9.33   $1,257   $1,000 126%                                          496718  
                                         32724 B       9.33   $1,065   $1,295 82%                                           495062  
                                         32724 B       9.33   $2,160   $2,000 108%                                          493805  
                                         32724 B       9.33     $871     $625 139%                                          493420  
                                         32724 B       10.4     $811     $800 101%                                          500202  
                                         32724 B       10.4   $1,535   $1,300 118%                                          498854  
                                         32724 C       9.33     $391     $500 78%                                           502295  
                                         32724 C       9.33   $1,869     $850 220%                                          491747  
                                         32724 C       9.33     $896     $600 149%                                          499891  
                                                                                                                                    
DELTONA                                  32725 A       10.4   $1,193   $1,000 119%                                          552474  
                                         32725 B       9.33   $1,445   $1,250 116%                                          583815  
                                         32725 B       9.33   $1,268   $1,050 121%                                          583898  
                                         32725 B       9.33   $1,434     $995 144%                                          586371  
                                         32725 B       9.33   $1,400   $1,025 137%                                          593639  
                                         32725 B       9.33   $1,001     $800 125%                                          533018  
                                         32725 B       9.33     $697     $800 87%                                           577544  
                                         32725 B       9.33   $2,243     $750 299%                                          533630  
                                         32725 B       10.4     $946     $795 119%                                          545485  
                                         32725 B       10.4   $1,072     $800 134%                                          555291  
                                         32725 B       10.4     $700     $675 104%                                          558383  
                                         32725 B       10.4     $969     $750 129%                                          560733  
                                         32725 B       10.4   $1,053     $825 128%                                          564152  
                                         32725 B       10.4     $747     $800 93%                                           572084  
                                         32725 B       10.4     $910     $725 126%                                          582827  
                                         32725 B       10.4   $1,278   $1,000 128%                                          582840  
                                         32725 B       10.4     $777     $700 111%                                          574108  
                                         32725 B       9.33     $871   $1,400 62%                                           539781  
                                         32725 B       9.33   $1,411   $1,250 113%                                          540388  
                                         32725 B       9.33   $1,387   $1,195 116%                                          542049  
                                         32725 B       9.33   $1,658   $1,100 151%                                          544972  
                                         32725 B       9.33     $809     $785 103%                                          546067  
                                         32725 B       9.33   $1,254   $1,100 114%                                          546377  
                                         32725 B       9.33   $1,038     $850 122%                                          548382  
                                         32725 B       9.33   $1,141   $1,100 104%                                          550668  
                                         32725 B       9.33     $692     $650 106%                                          550705  
                                         32725 B       9.33     $837     $750 112%                                          551529  
                                         32725 B       9.33     $824     $700 118%                                          551707  
                                         32725 B       9.33   $1,157   $1,050 110%                                          552010  
                                         32725 B       9.33   $1,631   $1,250 130%                                          552295  
                                         32725 B       9.33     $985     $950 104%                                          553615  
                                         32725 B       9.33     $650     $650 100%                                          555510  
                                         32725 B       9.33     $667     $650 103%                                          560937  
                                         32725 B       9.33     $596     $650 92%                                           563618  
                                         32725 B       9.33     $494     $625 79%                                           564521  
                                         32725 B       9.33     $675     $595 113%                                          570762  
                                         32725 B       9.33     $498     $650 77%                                           571930  
                                         32725 B       9.33   $1,406   $1,350 104%                                          573826  
                                         32725 B       9.33   $1,570   $1,150 137%                                          573859  
                                         32725 B       9.33     $970     $695 140%                                          574205  
                                         32725 B       9.33   $1,577   $1,300 121%                                          576713  
                                         32725 B       9.33   $1,068     $950 112%                                          578041  
                                         32725 C       9.33     $687     $800 86%                                           580993  
                                         32725 C       10.4   $1,418     $950 149%                                          568250  
