SQL> @rm_duplicate_taxes
** Saint Johns **                                                                                                                   
5648306 Selected 259892                                                                                                             
5655848 Selected 186356                                                                                                             
5655887 Selected 31193                                                                                                              
5655893 Selected 268033                                                                                                             
5655908 Selected 0                                                                                                                  
5655932 Selected 21829                                                                                                              
5655937 Selected 82067                                                                                                              
5655995 Selected 838293                                                                                                             
5656017 Selected 96488                                                                                                              
5656025 Selected 245598                                                                                                             
5656084 Selected 50938                                                                                                              
5656086 Selected 42490                                                                                                              
5656115 Selected 151690                                                                                                             
5656134 Selected 120294                                                                                                             
5670099 Selected 59031                                                                                                              
5670157 Selected 38418                                                                                                              
5670168 Selected 106621                                                                                                             
5670197 Selected 87593                                                                                                              
5670209 Selected 38475                                                                                                              
5670239 Selected 145601                                                                                                             
5670241 Selected 55790                                                                                                              
5670258 Selected 101962                                                                                                             
5670264 Selected 172602                                                                                                             
5670266 Selected 27500                                                                                                              
5670335 Selected 90203                                                                                                              
5670456 Selected 156023                                                                                                             
5684651 Selected 257409                                                                                                             
5684751 Selected 131039                                                                                                             
5684766 Selected 88818                                                                                                              
5684773 Selected 133630                                                                                                             
5684825 Selected 60500                                                                                                              
5684862 Selected 38828                                                                                                              
5692900 Selected 74656                                                                                                              
5692954 Selected 26479                                                                                                              
5693022 Selected 42358                                                                                                              
5701079 Selected 85804                                                                                                              
5701427 Selected 29363                                                                                                              
5701431 Selected 55954                                                                                                              
5709950 Selected 10500                                                                                                              
5709955 Selected 3014689                                                                                                            
5709992 Selected 25500                                                                                                              
5710016 Selected 257715                                                                                                             
5710081 Selected 142596                                                                                                             
5710130 Selected 85916                                                                                                              
5612450 Selected 60274                                                                                                              
5612612 Selected 22113                                                                                                              
5612776 Selected 312861                                                                                                             
5612799 Selected 95754                                                                                                              
5612801 Selected 87814                                                                                                              
5612803 Selected 76587                                                                                                              
5612812 Selected 103519                                                                                                             
5612867 Selected 16614                                                                                                              
5620273 Selected 50336                                                                                                              
5627385 Selected 86843                                                                                                              
5627466 Selected 174960                                                                                                             
5641256 Selected 28355                                                                                                              
5641278 Selected 15860                                                                                                              
5648739 Selected 115803                                                                                                             
5663903 Selected 22943                                                                                                              
5678023 Selected 151943                                                                                                             
5678031 Selected 47900                                                                                                              
5678069 Selected 155073                                                                                                             
5678081 Selected 186110                                                                                                             
5684926 Selected 49208                                                                                                              
5684928 Selected 44983                                                                                                              
5684933 Selected 10125                                                                                                              
5684970 Selected 725363                                                                                                             
5685097 Selected 37050                                                                                                              
5693175 Selected 286890                                                                                                             
5693241 Selected 553060                                                                                                             
5693333 Selected 112000                                                                                                             
5693354 Selected 125715                                                                                                             
5693384 Selected 12500                                                                                                              
5701760 Selected 81932                                                                                                              
5701768 Selected 353467                                                                                                             
5701883 Selected 450014                                                                                                             
5701918 Selected 134347                                                                                                             
5701939 Selected 130                                                                                                                
5701990 Selected 27500                                                                                                              
5702044 Selected 100232                                                                                                             
5702071 Selected 251766                                                                                                             
5702081 Selected 56066                                                                                                              
5710478 Selected 64557                                                                                                              
5710486 Selected 357393                                                                                                             
5710491 Selected 72519                                                                                                              
5710497 Selected 441612                                                                                                             
5710741 Selected 84999                                                                                                              
5605325 Selected 3665                                                                                                               
5613120 Selected 164527                                                                                                             
5613188 Selected 77382                                                                                                              
5621063 Selected 33529                                                                                                              
5621065 Selected 91440                                                                                                              
5621105 Selected 21060                                                                                                              
5621159 Selected 36713                                                                                                              
5634870 Selected 10000                                                                                                              
5635034 Selected 220288                                                                                                             
5642073 Selected 23085                                                                                                              
5642166 Selected 269686                                                                                                             
5642204 Selected 44505                                                                                                              
5642206 Selected 77827                                                                                                              
5649261 Selected 21688                                                                                                              
5649280 Selected 500                                                                                                                
5649303 Selected 99354                                                                                                              
5649401 Selected 130315                                                                                                             
5649608 Selected 117062                                                                                                             
5663920 Selected 25430                                                                                                              
5663980 Selected 105201                                                                                                             
5664031 Selected 77857                                                                                                              
5664033 Selected 31261                                                                                                              
5664042 Selected 92974                                                                                                              
5664085 Selected 107343                                                                                                             
5664102 Selected 160108                                                                                                             
5664117 Selected 585401                                                                                                             
5664183 Selected 267240                                                                                                             
5664204 Selected 109510                                                                                                             
5664213 Selected 177989                                                                                                             
5664224 Selected 135626                                                                                                             
5678137 Selected 61305                                                                                                              
5678144 Selected 63678                                                                                                              
5678149 Selected 44673                                                                                                              
5678157 Selected 118168                                                                                                             
5678177 Selected 136459                                                                                                             
5678235 Selected 103400                                                                                                             
5678275 Selected 72167                                                                                                              
5678284 Selected 66885                                                                                                              
5678298 Selected 156064                                                                                                             
5685801 Selected 228752                                                                                                             
5685849 Selected 48000                                                                                                              
5685913 Selected 46017                                                                                                              
5693765 Selected 89959                                                                                                              
5693805 Selected 136154                                                                                                             
5694109 Selected 168196                                                                                                             
5694122 Selected 137986                                                                                                             
5702147 Selected 156113                                                                                                             
5702149 Selected 43660                                                                                                              
5702172 Selected 163446                                                                                                             
5702490 Selected 119944                                                                                                             
5702492 Selected 26898                                                                                                              
5702560 Selected 192088                                                                                                             
5702563 Selected 40120                                                                                                              
5711053 Selected 1592190                                                                                                            
5613412 Selected 208073                                                                                                             
5613572 Selected 30823                                                                                                              
5613595 Selected 10000                                                                                                              
5621384 Selected 55872                                                                                                              
5621391 Selected 133076                                                                                                             
5621439 Selected 59966                                                                                                              
5621480 Selected 49971                                                                                                              
5642281 Selected 235564                                                                                                             
5642285 Selected 154163                                                                                                             
5642296 Selected 59285                                                                                                              
5642301 Selected 107640                                                                                                             
5642377 Selected 53328                                                                                                              
5642431 Selected 49500                                                                                                              
5642436 Selected 420903                                                                                                             
5649810 Selected 141089                                                                                                             
5650119 Selected 513730                                                                                                             
5685961 Selected 228525                                                                                                             
5686221 Selected 48999                                                                                                              
5686224 Selected 556476                                                                                                             
5686414 Selected 57117                                                                                                              
5694235 Selected 84796                                                                                                              
5694405 Selected 69999                                                                                                              
5702848 Selected 101830                                                                                                             
5702856 Selected 102888                                                                                                             
5711582 Selected 76800                                                                                                              
5711594 Selected 29666                                                                                                              
5711605 Selected 89346                                                                                                              
5711670 Selected 120110                                                                                                             
5711832 Selected 554856                                                                                                             
5711840 Selected 12500                                                                                                              
5711845 Selected 314069                                                                                                             
5711850 Selected 146025                                                                                                             
5711856 Selected 160493                                                                                                             
5606333 Selected 1350                                                                                                               
5606352 Selected 2700                                                                                                               
5606395 Selected 37537                                                                                                              
5606493 Selected 30604                                                                                                              
5606503 Selected 35625                                                                                                              
5606509 Selected 143367                                                                                                             
5606512 Selected 75293                                                                                                              
5614105 Selected 0                                                                                                                  
5614184 Selected 27216                                                                                                              
5614234 Selected 28194                                                                                                              
5614242 Selected 8250                                                                                                               
5622036 Selected 176030                                                                                                             
5622040 Selected 156492                                                                                                             
5643104 Selected 128828                                                                                                             
5643111 Selected 123019                                                                                                             
5643121 Selected 114434                                                                                                             
5643123 Selected 134656                                                                                                             
5650359 Selected 55043                                                                                                              
