RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80
H,2007000000003,5,02606,3,12,1084729,1102938,00013,05,1,1,,4,02,2,0000,150,2,0002,003,3,02000,,1,01000,1,1,6,,,,1,1,,18,3,0600,1,1,000025900,2,,,4,1,000025900,0,2,2,2,1,1,3,02,05,0,0,02,056,0,1,0,1,1,0,1,01200,3,0,1,62,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,00020,00016,00022,00018,00016,00027,00017,00004,00019,00023,00005,00013,00010,00005,00013,00003,00014,00014,00013,00020,00003,00015,00003,00013,00012,00007,00014,00017,00003,00005,00019,00014,00014,00020,00010,00018,00013,00012,00009,00004,00020,00017,00016,00011,00016,00033,00015,00005,00016,00023,00004,00011,00014,00004,00011,00003,00012,00016,00012,00021,00003,00020,00003,00012,00019,00004,00013,00020,00003,00005,00025,00014,00014,00024,00011,00018,00013,00010,00013,00004
H,2007000000004,5,03608,3,12,1084729,1102938,00015,04,1,1,,4,02,2,0000,260,2,0002,003,3,04200,,1,01600,1,1,7,,,,1,1,,20,2,0210,7,1,000122000,2,,,1,1,000122000,0,2,2,2,1,1,5,02,04,0,0,02,018,0,1,0,1,0,0,1,01878,3,0,1,30,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00015,00026,00015,00014,00014,00025,00016,00023,00004,00014,00005,00014,00015,00014,00005,00004,00022,00015,00004,00016,00024,00013,00025,00023,00005,00016,00005,00014,00015,00004,00015,00004,00026,00022,00013,00014,00015,00004,00015,00028,00014,00025,00014,00016,00015,00026,00017,00026,00005,00014,00005,00014,00014,00013,00004,00004,00024,00015,00004,00014,00026,00014,00023,00027,00005,00014,00004,00014,00015,00005,00014,00004,00027,00026,00014,00014,00016,00004,00014,00028
H,2007000000024,5,01600,3,12,1084729,1102938,00036,03,1,1,,2,01,2,0000,050,2,0002,003,3,,,,,,,4,2,00430,,2,3,,,1,0001,5,5,000012300,1,0480,047,1,2,000012300,0,1,1,1,1,1,1,01,02,0,1,01,,2,1,0,1,0,0,2,,,1,0,,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00013,00048,00046,00010,00019,00014,00011,00073,00017,00039,00012,00032,00025,00029,00032,00010,00013,00029,00028,00028,00038,00054,00127,00051,00037,00049,00026,00061,00036,00049,00024,00034,00039,00070,00063,00057,00024,00030,00063,00011,00007,00037,00053,00010,00017,00016,00007,00054,00023,00039,00009,00033,00028,00045,00036,00017,00011,00024,00037,00040,00026,00071,00037,00033,00064,00045,00045,00079,00035,00064,00026,00038,00056,00049,00045,00040,00043,00060,00052,00010
H,2007000000031,5,03000,3,12,1084729,1102938,00061,03,1,1,,3,02,2,0000,230,2,0002,003,3,01600,,2,02300,2,1,6,,,,1,1,,18,3,0960,3,1,000060000,1,,,1,1,000060000,0,1,1,1,1,1,3,01,03,0,0,01,057,0,1,0,1,0,0,2,02862,3,0,1,26,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,00112,00068,00119,00105,00076,00084,00077,00079,00072,00079,00098,00102,00091,00054,00070,00069,00045,00095,00056,00055,00024,00069,00023,00026,00019,00018,00076,00066,00019,00020,00072,00029,00017,00074,00068,00050,00045,00022,00054,00044,00018,00067,00028,00033,00021,00013,00043,00085,00033,00027,00059,00021,00019,00053,00046,00083,00086,00022,00077,00045,00074,00083,00114,00117,00101,00073,00066,00089,00124,00108,00110,00063,00074,00042,00047,00057,00093,00093,00064,00057
H,2007000000034,5,03606,3,12,1084729,1102938,00017,02,1,1,,2,02,2,0000,150,2,0002,003,3,00250,,2,00470,2,1,3,,,,1,1,,18,2,0900,5,1,000040000,4,,,1,1,000040000,0,4,4,4,1,1,3,00,02,0,0,00,029,0,1,0,0,1,0,1,00966,3,0,1,42,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00020,00020,00018,00016,00022,00026,00004,00035,00013,00005,00006,00007,00019,00025,00005,00016,00014,00016,00019,00022,00025,00015,00034,00027,00006,00018,00018,00015,00004,00017,00018,00015,00024,00016,00018,00005,00040,00006,00011,00016,00034,00024,00021,00022,00017,00026,00005,00027,00015,00006,00005,00004,00013,00028,00004,00013,00018,00015,00023,00031,00014,00012,00031,00044,00004,00018,00023,00017,00004,00016,00017,00015,00040,00019,00021,00005,00020,00007,00004,00018
H,2007000000066,5,04009,3,12,1084729,1102938,00012,04,1,,,2,04,,0000,130,1,0002,003,3,,,,,,,4,2,00700,,1,3,,,1,0130,7,7,000000000,3,0841,,1,3,000000000,0,3,3,3,1,1,4,03,04,0,0,03,,0,1,0,1,0,0,1,,,1,0,,0,15,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,00012,00012,00012,00020,00021,00014,00012,00012,00021,00004,00020,00012,00004,00003,00003,00011,00019,00004,00012,00013,00010,00012,00012,00003,00003,00012,00012,00011,00004,00019,00003,00011,00019,00021,00020,00011,00004,00020,00011,00012,00011,00012,00012,00020,00020,00011,00011,00012,00021,00003,00023,00012,00003,00003,00004,00010,00020,00004,00011,00012,00012,00012,00011,00003,00003,00011,00012,00012,00004,00019,00003,00013,00019,00019,00020,00012,00003,00020,00013,00012
H,2007000000087,5,03200,3,12,1084729,1102938,00015,02,1,1,,3,02,2,0000,110,2,0002,003,3,00800,,,,,3,6,,,,1,2,,19,2,0002,4,4,000039200,4,,,1,1,000039200,0,4,4,4,1,1,4,00,02,0,0,00,008,0,1,0,0,2,2,1,00277,,0,1,24,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00015,00005,00013,00004,00014,00013,00004,00013,00022,00004,00004,00020,00015,00018,00022,00015,00026,00015,00017,00005,00013,00031,00017,00025,00013,00013,00027,00012,00004,00023,00018,00004,00013,00016,00005,00012,00004,00018,00013,00005,00013,00027,00018,00030,00014,00013,00027,00013,00004,00017,00031,00005,00015,00023,00006,00017,00003,00015,00013,00024,00013,00004,00012,00004,00015,00015,00005,00013,00020,00005,00004,00023,00016,00011,00018,00017,00027,00013,00014,00024
H,2007000000101,5,02602,3,12,1084729,1102938,00017,02,1,,,2,09,,0280,060,2,0002,003,3,00000,,,,,3,5,,,,1,2,,14,2,0001,4,8,000000000,4,,,1,3,000000000,0,4,4,4,1,1,6,00,02,0,0,00,,0,1,0,0,2,1,1,00381,,0,0,11,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00014,00005,00017,00005,00016,00015,00005,00017,00029,00004,00005,00030,00016,00016,00028,00014,00029,00017,00015,00027,00016,00005,00017,00005,00015,00017,00005,00016,00029,00006,00004,00028,00016,00014,00031,00016,00027,00016,00016,00027,00017,00005,00017,00005,00018,00017,00005,00017,00024,00005,00004,00026,00016,00016,00030,00015,00028,00018,00015,00028,00017,00005,00016,00006,00015,00016,00005,00016,00025,00005,00005,00028,00016,00016,00027,00015,00027,00017,00014,00027
H,2007000000102,5,00400,3,12,1084729,1102938,00006,02,1,2,1,3,02,2,0000,350,2,0100,030,3,00700,,,,,3,7,,,,1,2,,10,2,0002,5,3,000037800,4,,,1,1,000037800,0,4,4,4,1,1,6,00,02,0,0,00,016,0,1,0,0,1,0,1,00504,,0,1,16,1,8,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00005,00005,00005,00002,00008,00002,00007,00007,00002,00006,00014,00002,00002,00012,00006,00008,00009,00008,00015,00003,00005,00007,00006,00008,00005,00012,00007,00007,00013,00006,00003,00018,00014,00001,00007,00008,00002,00008,00002,00002,00007,00007,00008,00010,00007,00011,00008,00007,00009,00006,00002,00012,00012,00003,00008,00005,00003,00006,00001,00011,00007,00009,00007,00002,00007,00003,00007,00006,00002,00008,00013,00002,00002,00013,00007,00007,00010,00006,00013,00009
H,2007000000167,5,03601,3,12,1084729,1102938,00013,02,1,,,1,08,,0300,060,2,0002,002,3,00000,,2,00620,2,1,3,,,,1,1,,17,2,0001,4,5,000043505,4,,,2,2,000043505,0,4,4,4,1,2,5,00,02,0,0,00,029,0,1,0,0,1,1,1,01043,3,0,0,17,1,11,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00004,00022,00021,00004,00004,00013,00003,00013,00013,00020,00013,00023,00014,00022,00013,00012,00003,00013,00011,00004,00013,00013,00012,00014,00013,00003,00014,00024,00004,00014,00004,00014,00024,00013,00021,00004,00013,00024,00021,00013,00023,00004,00004,00024,00021,00013,00023,00013,00013,00004,00013,00004,00013,00004,00013,00014,00025,00014,00013,00024,00012,00012,00013,00012,00011,00023,00014,00004,00021,00013,00021,00013,00004,00012,00004,00022,00013,00003,00004,00012
