SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
040,12,000,00000,00000,00000,Florida,Florida,18801310,18801311,18838613,19057542
162,12,000,00375,00000,00000,Alachua city,Florida,9059,9060,9062,9139
162,12,000,00625,00000,00000,Alford town,Florida,489,489,488,483
162,12,000,00950,00000,00000,Altamonte Springs city,Florida,41496,41496,41544,41727
162,12,000,01000,00000,00000,Altha town,Florida,536,536,537,541
162,12,000,01475,00000,00000,Anna Maria city,Florida,1503,1503,1506,1524
162,12,000,01625,00000,00000,Apalachicola city,Florida,2231,2231,2236,2242
162,12,000,01700,00000,00000,Apopka city,Florida,41542,41604,41709,42467
162,12,000,01750,00000,00000,Arcadia city,Florida,7637,7637,7657,7643
162,12,000,01775,00000,00000,Archer city,Florida,1118,1118,1119,1128
162,12,000,02250,00000,00000,Astatula town,Florida,1810,1810,1814,1836
162,12,000,02400,00000,00000,Atlantic Beach city,Florida,12655,12655,12672,12751
162,12,000,02500,00000,00000,Atlantis city,Florida,2005,2005,2009,2029
162,12,000,02550,00000,00000,Auburndale city,Florida,13507,13507,13525,13675
162,12,000,02681,00000,00000,Aventura city,Florida,35762,35762,35858,36610
162,12,000,02750,00000,00000,Avon Park city,Florida,8836,8838,8834,8825
162,12,000,03250,00000,00000,Baldwin town,Florida,1425,1425,1426,1437
162,12,000,03275,00000,00000,Bal Harbour village,Florida,2513,2514,2521,2574
162,12,000,03675,00000,00000,Bartow city,Florida,17298,17298,17321,17501
162,12,000,03725,00000,00000,Bascom town,Florida,121,121,121,120
162,12,000,03975,00000,00000,Bay Harbor Islands town,Florida,5628,5628,5644,5762
162,12,000,04150,00000,00000,Bay Lake city,Florida,47,47,47,48
162,12,000,04975,00000,00000,Bell town,Florida,456,456,459,459
162,12,000,05075,00000,00000,Belleair town,Florida,3869,3869,3867,3872
162,12,000,05100,00000,00000,Belleair Beach city,Florida,1560,1560,1559,1561
162,12,000,05125,00000,00000,Belleair Bluffs city,Florida,2031,2031,2030,2032
162,12,000,05150,00000,00000,Belleair Shore town,Florida,109,109,109,109
162,12,000,05200,00000,00000,Belle Glade city,Florida,17467,17467,17505,17667
162,12,000,05300,00000,00000,Belle Isle city,Florida,5988,5988,6004,6111
162,12,000,05375,00000,00000,Belleview city,Florida,4492,4492,4494,4509
162,12,000,06100,00000,00000,Beverly Beach town,Florida,338,338,339,344
162,12,000,06600,00000,00000,Biscayne Park village,Florida,3055,3055,3062,3126
162,12,000,06925,00000,00000,Blountstown city,Florida,2514,2501,2502,2523
162,12,000,07300,00000,00000,Boca Raton city,Florida,84392,84392,84566,85329
162,12,000,07450,00000,00000,Bonifay city,Florida,2793,2804,2794,2796
162,12,000,07525,00000,00000,Bonita Springs city,Florida,43914,43914,44036,44816
162,12,000,07775,00000,00000,Bowling Green city,Florida,2930,2930,2938,2947
162,12,000,07875,00000,00000,Boynton Beach city,Florida,68217,68217,68361,68996
162,12,000,07950,00000,00000,Bradenton city,Florida,49546,49546,49639,50193
162,12,000,07975,00000,00000,Bradenton Beach city,Florida,1171,1171,1173,1187
162,12,000,08175,00000,00000,Branford town,Florida,712,712,712,720
162,12,000,08575,00000,00000,Briny Breezes town,Florida,601,601,602,608
162,12,000,08600,00000,00000,Bristol city,Florida,996,995,994,989
162,12,000,08700,00000,00000,Bronson town,Florida,1113,1113,1111,1096
162,12,000,08725,00000,00000,Brooker town,Florida,338,338,337,334
162,12,000,08800,00000,00000,Brooksville city,Florida,7719,7721,7732,7735
162,12,000,09550,00000,00000,Bunnell city,Florida,2676,2676,2685,2717
162,12,000,09625,00000,00000,Bushnell city,Florida,2418,2418,2439,2524
162,12,000,09700,00000,00000,Callahan town,Florida,1123,1123,1126,1136
162,12,000,09725,00000,00000,Callaway city,Florida,14405,14405,14443,14493
162,12,000,09900,00000,00000,Campbellton town,Florida,230,230,230,227
162,12,000,10250,00000,00000,Cape Canaveral city,Florida,9912,9912,9921,9916
162,12,000,10275,00000,00000,Cape Coral city,Florida,154305,154305,154734,157476
162,12,000,10725,00000,00000,Carrabelle city,Florida,2778,2778,2780,2785
162,12,000,10975,00000,00000,Caryville town,Florida,411,411,411,412
