SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
040,12,000,00000,00000,00000,Florida,Florida,18801310,18802690,18845967,19082262,19317568
162,12,000,00375,00000,00000,Alachua city,Florida,9059,9063,9076,9157,9272
162,12,000,00625,00000,00000,Alford town,Florida,489,489,488,484,475
162,12,000,00950,00000,00000,Altamonte Springs city,Florida,41496,41544,41561,41719,41920
162,12,000,01000,00000,00000,Altha town,Florida,536,536,536,539,536
162,12,000,01475,00000,00000,Anna Maria city,Florida,1503,1503,1505,1524,1549
162,12,000,01625,00000,00000,Apalachicola city,Florida,2231,2231,2233,2235,2260
162,12,000,01700,00000,00000,Apopka city,Florida,41542,41604,41828,43179,44474
162,12,000,01750,00000,00000,Arcadia city,Florida,7637,7626,7640,7585,7621
162,12,000,01775,00000,00000,Archer city,Florida,1118,1118,1118,1126,1136
162,12,000,02250,00000,00000,Astatula town,Florida,1810,1810,1814,1819,1832
162,12,000,02400,00000,00000,Atlantic Beach city,Florida,12655,12655,12659,12729,12864
162,12,000,02500,00000,00000,Atlantis city,Florida,2005,2005,2009,2026,2050
162,12,000,02550,00000,00000,Auburndale city,Florida,13507,13507,13537,13718,13918
162,12,000,02681,00000,00000,Aventura city,Florida,35762,35762,35881,36677,36981
162,12,000,02750,00000,00000,Avon Park city,Florida,8836,8833,8829,8799,8792
162,12,000,03250,00000,00000,Baldwin town,Florida,1425,1425,1426,1428,1437
162,12,000,03275,00000,00000,Bal Harbour village,Florida,2513,2514,2522,2577,2597
162,12,000,03675,00000,00000,Bartow city,Florida,17298,17298,17323,17483,17665
162,12,000,03725,00000,00000,Bascom town,Florida,121,121,121,120,118
162,12,000,03975,00000,00000,Bay Harbor Islands town,Florida,5628,5628,5644,5763,5821
162,12,000,04150,00000,00000,Bay Lake city,Florida,47,47,47,48,49
162,12,000,04975,00000,00000,Bell town,Florida,456,456,458,458,453
162,12,000,05075,00000,00000,Belleair town,Florida,3869,3869,3868,3877,3895
162,12,000,05100,00000,00000,Belleair Beach city,Florida,1560,1560,1560,1562,1570
162,12,000,05125,00000,00000,Belleair Bluffs city,Florida,2031,2031,2031,2032,2042
162,12,000,05150,00000,00000,Belleair Shore town,Florida,109,109,109,109,110
162,12,000,05200,00000,00000,Belle Glade city,Florida,17467,17461,17497,17633,17817
162,12,000,05300,00000,00000,Belle Isle city,Florida,5988,5988,6004,6117,6277
162,12,000,05375,00000,00000,Belleview city,Florida,4492,4492,4493,4499,4522
162,12,000,06100,00000,00000,Beverly Beach town,Florida,338,338,338,339,340
162,12,000,06600,00000,00000,Biscayne Park village,Florida,3055,3074,3083,3144,3164
162,12,000,06925,00000,00000,Blountstown city,Florida,2514,2501,2500,2526,2520
162,12,000,07300,00000,00000,Boca Raton city,Florida,84392,84392,85159,86499,87836
162,12,000,07450,00000,00000,Bonifay city,Florida,2793,2804,2797,2790,2774
162,12,000,07525,00000,00000,Bonita Springs city,Florida,43914,43914,44062,45029,46340
162,12,000,07775,00000,00000,Bowling Green city,Florida,2930,2930,2935,2930,2910
162,12,000,07875,00000,00000,Boynton Beach city,Florida,68217,68217,68363,68893,70101
162,12,000,07950,00000,00000,Bradenton city,Florida,49546,49560,49635,49986,50672
162,12,000,07975,00000,00000,Bradenton Beach city,Florida,1171,1171,1172,1177,1190
162,12,000,08175,00000,00000,Branford town,Florida,712,712,713,719,718
162,12,000,08575,00000,00000,Briny Breezes town,Florida,601,601,601,601,603
162,12,000,08600,00000,00000,Bristol city,Florida,996,998,996,991,974
162,12,000,08700,00000,00000,Bronson town,Florida,1113,1113,1112,1097,1097
162,12,000,08725,00000,00000,Brooker town,Florida,338,338,338,336,334
162,12,000,08800,00000,00000,Brooksville city,Florida,7719,7721,7728,7730,7711
162,12,000,09550,00000,00000,Bunnell city,Florida,2676,2676,2684,2710,2726
