SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
40,12,0,0,0,0,Florida,Florida,,18801310,18801311,18838613,19057542
162,12,0,375,0,0,Alachua,CITY,Florida,9059,9060,9062,9139
162,12,0,625,0,0,Alford,TOWN,Florida,489,489,488,483
162,12,0,950,0,0,Altamonte Springs,CITY,Florida,41496,41496,41544,41727
162,12,0,1000,0,0,Altha,TOWN,Florida,536,536,537,541
162,12,0,1475,0,0,Anna Maria,CITY,Florida,1503,1503,1506,1524
162,12,0,1625,0,0,Apalachicola,CITY,Florida,2231,2231,2236,2242
162,12,0,1700,0,0,Apopka,CITY,Florida,41542,41604,41709,42467
162,12,0,1750,0,0,Arcadia,CITY,Florida,7637,7637,7657,7643
162,12,0,1775,0,0,Archer,CITY,Florida,1118,1118,1119,1128
162,12,0,2250,0,0,Astatula,TOWN,Florida,1810,1810,1814,1836
162,12,0,2400,0,0,Atlantic Beach,CITY,Florida,12655,12655,12672,12751
162,12,0,2500,0,0,Atlantis,CITY,Florida,2005,2005,2009,2029
162,12,0,2550,0,0,Auburndale,CITY,Florida,13507,13507,13525,13675
162,12,0,2681,0,0,Aventura,CITY,Florida,35762,35762,35858,36610
162,12,0,2750,0,0,Avon Park,CITY,Florida,8836,8838,8834,8825
162,12,0,3250,0,0,Baldwin,TOWN,Florida,1425,1425,1426,1437
162,12,0,3275,0,0,Bal Harbour,VILLAGE,Florida,2513,2514,2521,2574
162,12,0,3675,0,0,Bartow,CITY,Florida,17298,17298,17321,17501
162,12,0,3725,0,0,Bascom,TOWN,Florida,121,121,121,120
162,12,0,3975,0,0,Bay Harbor Islands,TOWN,Florida,5628,5628,5644,5762
162,12,0,4150,0,0,Bay Lake,CITY,Florida,47,47,47,48
162,12,0,4975,0,0,Bell,TOWN,Florida,456,456,459,459
162,12,0,5075,0,0,Belleair,TOWN,Florida,3869,3869,3867,3872
162,12,0,5100,0,0,Belleair Beach,CITY,Florida,1560,1560,1559,1561
162,12,0,5125,0,0,Belleair Bluffs,CITY,Florida,2031,2031,2030,2032
162,12,0,5150,0,0,Belleair Shore,TOWN,Florida,109,109,109,109
162,12,0,5200,0,0,Belle Glade,CITY,Florida,17467,17467,17505,17667
162,12,0,5300,0,0,Belle Isle,CITY,Florida,5988,5988,6004,6111
162,12,0,5375,0,0,Belleview,CITY,Florida,4492,4492,4494,4509
162,12,0,6100,0,0,Beverly Beach,TOWN,Florida,338,338,339,344
162,12,0,6600,0,0,Biscayne Park,VILLAGE,Florida,3055,3055,3062,3126
162,12,0,6925,0,0,Blounts Town,CITY,Florida,2514,2501,2502,2523
162,12,0,7300,0,0,Boca Raton,CITY,Florida,84392,84392,84566,85329
162,12,0,7450,0,0,Bonifay,CITY,Florida,2793,2804,2794,2796
162,12,0,7525,0,0,Bonita Springs,CITY,Florida,43914,43914,44036,44816
162,12,0,7775,0,0,Bowling Green,CITY,Florida,2930,2930,2938,2947
162,12,0,7875,0,0,Boynton Beach,CITY,Florida,68217,68217,68361,68996
162,12,0,7950,0,0,Bradenton,CITY,Florida,49546,49546,49639,50193
162,12,0,7975,0,0,Bradenton Beach,CITY,Florida,1171,1171,1173,1187
162,12,0,8175,0,0,Branford,TOWN,Florida,712,712,712,720
162,12,0,8575,0,0,Briny Breezes,TOWN,Florida,601,601,602,608
162,12,0,8600,0,0,Bristol,CITY,Florida,996,995,994,989
162,12,0,8700,0,0,Bronson,TOWN,Florida,1113,1113,1111,1096
162,12,0,8725,0,0,Brooker,TOWN,Florida,338,338,337,334
162,12,0,8800,0,0,Brooksville,CITY,Florida,7719,7721,7732,7735
162,12,0,9550,0,0,Bunnell,CITY,Florida,2676,2676,2685,2717
162,12,0,9625,0,0,Bushnell,CITY,Florida,2418,2418,2439,2524
162,12,0,9700,0,0,Callahan,TOWN,Florida,1123,1123,1126,1136
162,12,0,9725,0,0,Callaway,CITY,Florida,14405,14405,14443,14493
162,12,0,9900,0,0,Campbellton,TOWN,Florida,230,230,230,227
162,12,0,10250,0,0,Cape Canaveral,CITY,Florida,9912,9912,9921,9916
162,12,0,10275,0,0,Cape Coral,CITY,Florida,154305,154305,154734,157476
162,12,0,10725,0,0,Carrabelle,CITY,Florida,2778,2778,2780,2785
162,12,0,10975,0,0,Caryville,TOWN,Florida,411,411,411,412
162,12,0,11050,0,0,Casselberry,CITY,Florida,26241,26241,26273,26387
162,12,0,11225,0,0,Cedar Key,CITY,Florida,702,705,703,693
162,12,0,11325,0,0,Center Hill,CITY,Florida,988,988,998,1038
162,12,0,11362,0,0,Century,TOWN,Florida,1698,1698,1700,1706
162,12,0,11800,0,0,Chattahoochee,CITY,Florida,3652,3648,3650,3636
162,12,0,11925,0,0,Chiefland,CITY,Florida,2245,2245,2240,2209
162,12,0,11975,0,0,Chipley,CITY,Florida,3605,3605,3607,3611
162,12,0,12325,0,0,Cinco Bayou,TOWN,Florida,383,383,383,389
162,12,0,12875,0,0,Clearwater,CITY,Florida,107685,107685,107648,107784
162,12,0,12925,0,0,Clermont,CITY,Florida,28742,28740,28819,29126
162,12,0,13000,0,0,Clewiston,CITY,Florida,7155,7155,7156,7146
162,12,0,13050,0,0,Cloud Lake,TOWN,Florida,135,135,135,136
162,12,0,13150,0,0,Cocoa,CITY,Florida,17140,17140,17154,17147
162,12,0,13175,0,0,Cocoa Beach,CITY,Florida,11231,11231,11240,11235
162,12,0,13275,0,0,Coconut Creek,CITY,Florida,52909,52936,53061,53915
162,12,0,13400,0,0,Coleman,CITY,Florida,703,694,702,731
162,12,0,14125,0,0,Cooper City,CITY,Florida,28547,28547,28614,29076
162,12,0,14250,0,0,Coral Gables,CITY,Florida,46780,46780,46894,47783
162,12,0,14400,0,0,Coral Springs,CITY,Florida,121096,121098,121382,123338
162,12,0,14850,0,0,Cottondale,TOWN,Florida,933,933,931,923
162,12,0,15375,0,0,Crescent City,CITY,Florida,1577,1577,1576,1571
162,12,0,15475,0,0,Crestview,CITY,Florida,20978,20978,20976,21284
162,12,0,15575,0,0,Cross City,TOWN,Florida,1728,1728,1726,1735
162,12,0,15775,0,0,Crystal River,CITY,Florida,3108,3110,3111,3086
162,12,0,15968,0,0,Cutler Bay,TOWN,Florida,40286,40286,40392,41236
162,12,0,16125,0,0,Dade City,CITY,Florida,6437,6437,6449,6461
162,12,0,16335,0,0,Dania Beach,CITY,Florida,29639,29639,29709,30183
162,12,0,16450,0,0,Davenport,CITY,Florida,2888,2895,2899,2931
162,12,0,16475,0,0,Davie,TOWN,Florida,91992,91992,92205,93674
162,12,0,16525,0,0,Daytona Beach,CITY,Florida,61005,61005,61011,61028
162,12,0,16550,0,0,Daytona Beach Shores,CITY,Florida,4247,4251,4251,4253
162,12,0,16675,0,0,DeBary,CITY,Florida,19320,19315,19316,19324
162,12,0,16725,0,0,Deerfield Beach,CITY,Florida,75018,75018,75191,76389
162,12,0,16800,0,0,DeFuniak Springs,CITY,Florida,5177,5177,5202,5248
162,12,0,16875,0,0,DeLand,CITY,Florida,27031,27031,27033,27041
162,12,0,17100,0,0,Delray Beach,CITY,Florida,60522,60522,60650,61209
162,12,0,17200,0,0,Deltona,CITY,Florida,85182,85182,85191,85219
162,12,0,17325,0,0,Destin,CITY,Florida,12305,12305,12303,12489
162,12,0,17935,0,0,Doral,CITY,Florida,45704,45704,45827,46789
162,12,0,18550,0,0,Dundee,TOWN,Florida,3717,3717,3723,3764
162,12,0,18575,0,0,Dunedin,CITY,Florida,35321,35321,35308,35354
162,12,0,18675,0,0,Dunnellon,CITY,Florida,1733,1733,1734,1740
162,12,0,18875,0,0,Eagle Lake,CITY,Florida,2255,2255,2259,2283
162,12,0,19650,0,0,Eatonville,TOWN,Florida,2159,2159,2163,2199
162,12,0,19725,0,0,Ebro,TOWN,Florida,270,270,270,271
162,12,0,19825,0,0,Edgewater,CITY,Florida,20750,20753,20756,20761
162,12,0,19900,0,0,Edgewood,CITY,Florida,2503,2503,2509,2555
162,12,0,20650,0,0,El Portal,VILLAGE,Florida,2325,2325,2331,2380
162,12,0,21250,0,0,Esto,TOWN,Florida,364,364,363,362
162,12,0,21350,0,0,Eustis,CITY,Florida,18558,18558,18610,18805
162,12,0,21425,0,0,Everglades,CITY,Florida,400,400,402,408
162,12,0,21850,0,0,Fanning Springs,CITY,Florida,764,764,764,758
162,12,0,22100,0,0,Fellsmere,CITY,Florida,5197,5197,5207,5229
162,12,0,22175,0,0,Fernandina Beach,CITY,Florida,11487,11487,11517,11624
162,12,0,22550,0,0,Flagler Beach,CITY,Florida,4484,4484,4500,4563
162,12,0,22975,0,0,Florida City,CITY,Florida,11245,11245,11275,11511
162,12,0,24000,0,0,Fort Lauderdale,CITY,Florida,165521,165521,165900,168528
162,12,0,24100,0,0,Fort Meade,CITY,Florida,5626,5626,5632,5696
162,12,0,24125,0,0,Fort Myers,CITY,Florida,62298,62296,62460,63512
162,12,0,24150,0,0,Fort Myers Beach,TOWN,Florida,6277,6277,6294,6406
162,12,0,24300,0,0,Fort Pierce,CITY,Florida,41590,41606,41746,41993
162,12,0,24475,0,0,Fort Walton Beach,CITY,Florida,19507,19507,19505,19793
162,12,0,24500,0,0,Fort White,TOWN,Florida,567,567,567,566
162,12,0,24825,0,0,Freeport,CITY,Florida,1787,1787,1795,1812
162,12,0,24900,0,0,Frostproof,CITY,Florida,2992,2992,2997,3030
162,12,0,24975,0,0,Fruitland Park,CITY,Florida,4078,4078,4090,4132
162,12,0,25175,0,0,Gainesville,CITY,Florida,124354,124354,124394,125326
162,12,0,26050,0,0,Glen Ridge,TOWN,Florida,219,219,219,220
162,12,0,26075,0,0,Glen St. Mary,TOWN,Florida,437,439,438,440
162,12,0,26250,0,0,Golden Beach,TOWN,Florida,919,919,921,940
162,12,0,26550,0,0,Golf,VILLAGE,Florida,252,252,252,255
162,12,0,27000,0,0,Graceville,CITY,Florida,2278,2278,2275,2258
162,12,0,27175,0,0,Grand Ridge,TOWN,Florida,892,895,894,885
162,12,0,27256,0,0,Grant-Valkaria,TOWN,Florida,3850,3850,3854,3851
162,12,0,27322,0,0,Greenacres,CITY,Florida,37573,37573,37655,38009
162,12,0,27400,0,0,Green Cove Springs,CITY,Florida,6908,6908,6927,6958
162,12,0,27550,0,0,Greensboro,TOWN,Florida,602,645,645,642
162,12,0,27575,0,0,Greenville,TOWN,Florida,843,835,835,830
162,12,0,27600,0,0,Greenwood,TOWN,Florida,686,686,685,678
162,12,0,27650,0,0,Gretna,CITY,Florida,1460,1459,1459,1452
162,12,0,27800,0,0,Groveland,CITY,Florida,8729,8729,8752,8846
162,12,0,28000,0,0,Gulf Breeze,CITY,Florida,5763,5763,5788,5870
162,12,0,28175,0,0,Gulfport,CITY,Florida,12029,12029,12026,12041
162,12,0,28275,0,0,Gulf Stream,TOWN,Florida,786,786,788,795
162,12,0,28400,0,0,Haines City,CITY,Florida,20535,20552,20579,20807
162,12,0,28452,0,0,Hallandale Beach,CITY,Florida,37113,37113,37200,37800
162,12,0,28575,0,0,Hampton,CITY,Florida,500,500,499,496
162,12,0,29100,0,0,Hastings,TOWN,Florida,580,580,584,598
162,12,0,29150,0,0,Havana,TOWN,Florida,1754,1753,1754,1743
162,12,0,29200,0,0,Haverhill,TOWN,Florida,1873,1873,1878,1896
162,12,0,29275,0,0,Hawthorne,CITY,Florida,1417,1417,1418,1428
162,12,0,30000,0,0,Hialeah,CITY,Florida,224669,224669,225269,229969
162,12,0,30025,0,0,Hialeah Gardens,CITY,Florida,21744,21744,21803,22257
162,12,0,30200,0,0,Highland Beach,TOWN,Florida,3539,3539,3547,3580
162,12,0,30325,0,0,Highland Park,VILLAGE,Florida,230,230,230,233
162,12,0,30525,0,0,High Springs,CITY,Florida,5350,5344,5347,5391
162,12,0,30700,0,0,Hillcrest Heights,TOWN,Florida,254,254,254,257
162,12,0,30750,0,0,Hilliard,TOWN,Florida,3086,3086,3094,3123
162,12,0,30850,0,0,Hillsboro Beach,TOWN,Florida,1875,1875,1879,1910
162,12,0,31350,0,0,Holly Hill,CITY,Florida,11659,11659,11660,11663
162,12,0,32000,0,0,Hollywood,CITY,Florida,140768,140768,141095,143357
162,12,0,32150,0,0,Holmes Beach,CITY,Florida,3836,3836,3844,3888
162,12,0,32275,0,0,Homestead,CITY,Florida,60512,60512,60673,61940
162,12,0,32650,0,0,Horseshoe Beach,TOWN,Florida,169,169,169,170
162,12,0,32775,0,0,Howey-in-the-Hills,TOWN,Florida,1098,1103,1106,1118
162,12,0,33150,0,0,Hypoluxo,TOWN,Florida,2588,2588,2593,2618
162,12,0,33375,0,0,Indialantic,TOWN,Florida,2720,2720,2723,2721
162,12,0,33425,0,0,Indian Creek,VILLAGE,Florida,86,86,86,88
162,12,0,33450,0,0,Indian Harbour Beach,CITY,Florida,8225,8225,8231,8228
162,12,0,33600,0,0,Indian River Shores,TOWN,Florida,3901,3899,3906,3924
162,12,0,33625,0,0,Indian Rocks Beach,CITY,Florida,4113,4113,4112,4117
162,12,0,33675,0,0,Indian Shores,TOWN,Florida,1420,1420,1420,1421
162,12,0,33800,0,0,Inglis,TOWN,Florida,1325,1325,1323,1304
162,12,0,33900,0,0,Interlachen,TOWN,Florida,1403,1403,1401,1396
162,12,0,33950,0,0,Inverness,CITY,Florida,7210,7210,7212,7152
162,12,0,34132,0,0,"Islamorada,Village of Islands",VILLAGE,Florida,6119,6119,6128,6184
162,12,0,35000,0,0,Jacksonville,CITY,Florida,821784,821784,822883,827908
162,12,0,35050,0,0,Jacksonville Beach,CITY,Florida,21362,21362,21392,21523
162,12,0,35200,0,0,Jacob City,CITY,Florida,250,250,250,247
162,12,0,35375,0,0,Jasper,CITY,Florida,4546,4546,4537,4528
162,12,0,35425,0,0,Jay,TOWN,Florida,533,533,536,543
162,12,0,35525,0,0,Jennings,TOWN,Florida,878,878,875,869
162,12,0,35850,0,0,Juno Beach,TOWN,Florida,3176,3176,3183,3213
162,12,0,35875,0,0,Jupiter,TOWN,Florida,55156,55276,55394,55911
162,12,0,35900,0,0,Jupiter Inlet Colony,TOWN,Florida,400,400,401,404
162,12,0,35925,0,0,Jupiter Island,TOWN,Florida,817,817,817,823
