load data
 infile *
 append into table tmp_tax_value
 fields terminated by "," optionally enclosed by '"'
 (name, description, a_median, b_median, c_median, sales_count)
begindata
PENSACOLA,Industrial,13,4.5,3.5,9999
PENSACOLA,Office,20,11,4.25,9999
PENSACOLA,Retail,25,10,4.5,9999
PENSACOLA,Special Purpose,13,10,3.3,9999
CRESTVIEW,Office,12,10,8,9999
CRESTVIEW,Retail,16,7,6.5,9999
PANAMA CITY,Industrial,8,4.5,3,9999
PANAMA CITY,Office,18,12,4.66,9999
PANAMA CITY,Retail,16,10,2.5,9999
PANAMA CITY,Special Purpose,12,9,8,9999
TALLAHASSEE,Industrial,12,6,3.9,9999
TALLAHASSEE,Office,24,14,9,9999
TALLAHASSEE,Retail,25,13,8,9999
TALLAHASSEE,Special Purpose,21,18,14,9999
GAINESVILLE,Industrial,16,7.5,3,9999
GAINESVILLE,Office,18,14,10,9999
GAINESVILLE,Retail,25,14,9,9999
OCALA,Industrial,10.77,4.8,2.95,9999
OCALA,Office,15,12,8,9999
OCALA,Retail,18,10,4,9999
JACKSONVILLE,Industrial,9,4.75,2.25,9999
JACKSONVILLE,Office,16.75,13.5,10,9999
JACKSONVILLE,Retail,18,11,4,9999
JACKSONVILLE,Special Purpose,19.5,11,3.6,9999
TAMPA,Industrial,11.4,5.95,3,9999
TAMPA,Office,22,17,11,9999
TAMPA,Retail,20,14,8,9999
TAMPA,Special Purpose,28,12,9.5,9999
LAKELAND,Industrial,6,4.5,3,9999
LAKELAND,Office,15,12,9,9999
LAKELAND,Retail,16.5,10,5.25,9999
LAKELAND,Special Purpose,16.5,9,3,9999
NORTH PORT,Industrial,6.5,5,4,9999
NORTH PORT,Office,15,12,10.6,9999
NORTH PORT,Retail,22,14,10.2,9999
PALM COAST,Office,16.5,15,12.5,9999
PALM COAST,Retail,20,15,12,9999
ORLANDO,Industrial,10,6.25,4.5,9999
ORLANDO,Office,22,15,5,9999
ORLANDO,Retail,20,14,7.5,9999
PALM BAY,Industrial,10,8,6,9999
PALM BAY,Office,13.5,11.35,6.26,9999
PALM BAY,Retail,16,14,6,9999
OKEECHOBEE,Retail,15,15,6.99,9999
PUNTA GORDA,Industrial,9,7,5.75,9999
PUNTA GORDA,Office,16,15,10,9999
PUNTA GORDA,Retail,15,11,7,9999
FORT MYERS,Industrial,7.5,6,4,9999
FORT MYERS,Office,15,12,8.5,9999
FORT MYERS,Retail,17,11.5,6,9999
NAPLES,Industrial,11,9,7.5,9999
NAPLES,Office,22,16,12,9999
NAPLES,Retail,25,15,8,9999
VERO BEACH,Industrial,8,7,4.66,9999
VERO BEACH,Office,22,18,11.71,9999
VERO BEACH,Retail,27,14,7,9999
PORT SAINT LUCIE,Industrial,9,6.95,5,9999
PORT SAINT LUCIE,Office,20,17.5,12,9999
PORT SAINT LUCIE,Retail,19,15,9,9999
WEST PALM BEACH,Industrial,12.5,10,6.85,9999
WEST PALM BEACH,Office,22,15,12,9999 
WEST PALM BEACH,Retail,25,17,13,9999
FORT LAUDERDALE,Industrial,14,10,7.95,9999
FORT LAUDERDALE,Office,24,17,12,9999
FORT LAUDERDALE,Retail,30,19.3,14.4,9999
MIAMI,Industrial,13.5,9.5,8,9999
MIAMI,Office,32,25,15.6,9999
MIAMI,Retail,43,25,10,9999
,,,,,
,,,,,
,,,,,
,,,, ,
